movie_id,title,publication_year,genre_id
254,The Amazing Spider-Man 2,2014,13
255,The Conjuring,2013,6
256,The Hangover,2009,18
257,Battleship,2012,2
258,Rise of the Planet of the Apes,2011,7
259,Lights Out,2016,11
260,Norman: The Moderate Rise and Tragic Fall of a New York Fixer,2016,2
261,Birdman or (The Unexpected Virtue of Ignorance),2014,7
262,Black Swan,2010,13
263,Dear White People,2014,1
264,Nymphomaniac: Vol. I,2013,15
265,Teenage Mutant Ninja Turtles: Out of the Shadows,2016,7
266,Knock Knock,2015,17
267,Dirty Grandpa,2016,13
268,Cloud Atlas,2012,10
269,X-Men Origins: Wolverine,2009,7
270,Satanic,2016,3
271,Skyfall,2012,14
272,The Hobbit: An Unexpected Journey,2012,14
273,21 Jump Street,2012,9
274,Sing Street,2016,13
275,Ballerina,2016,7
276,Oblivion,2013,2
277,22 Jump Street,2014,6
278,Zodiac,2007,6
279,Everybody Wants Some!!,2016,14
280,Iron Man Three,2013,1
281,Now You See Me,2013,11
282,Sherlock Holmes,2009,2
283,Death Proof,2007,12
284,The Danish Girl,2015,11
285,Hercules,2014,8
286,Sucker Punch,2011,17
287,Keeping Up with the Joneses,2016,7
288,Jupiter Ascending,2015,2
289,Masterminds,2016,3
290,Iris,2016,2
291,Busanhaeng,2016,13
292,Pitch Perfect,2012,3
293,Neighbors 2: Sorority Rising,2016,8
294,The Exception,2016,17
295,Man of Steel,2013,17
296,The Choice,2016,16
297,Ice Age: Collision Course,2016,8
298,The Devil Wears Prada,2006,19
299,The Infiltrator,2016,8
300,There Will Be Blood,2007,9
301,The Equalizer,2014,8
302,Lone Survivor,2013,11
303,The Cabin in the Woods,2012,4
304,The House Bunny,2008,18
305,She's Out of My League,2010,9
306,Inherent Vice,2014,17
307,Alice Through the Looking Glass,2016,17
308,Vincent N Roxxy,2016,8
309,The Fast and the Furious: Tokyo Drift,2006,18
310,How to Be Single,2016,18
311,The Blind Side,2009,12
312,La vie d'Adèle,2013,18
313,The Babadook,2014,10
314,The Hobbit: The Battle of the Five Armies,2014,5
315,Harry Potter and the Order of the Phoenix,2007,16
316,Snowpiercer,2013,4
317,The 5th Wave,2016,16
318,The Stakelander,2016,10
319,The Visit,2015,11
320,Fast Five,2011,8
321,Step Up,2006,7
322,Lovesong,2016,7
323,RocknRolla,2008,19
324,In Time,2011,3
325,The Social Network,2010,8
326,The Last Witch Hunter,2015,10
327,Victor Frankenstein,2015,5
328,A Street Cat Named Bob,2016,15
329,Green Room,2015,6
330,Blackhat,2015,6
331,Storks,2016,6
332,American Sniper,2014,15
333,Dallas Buyers Club,2013,5
334,Lincoln,2012,5
335,Rush,2013,12
336,Before I Wake,2016,6
337,Silver Linings Playbook,2012,5
338,Tracktown,2016,7
339,The Fault in Our Stars,2014,1
340,Blended,2014,5
341,Fast & Furious,2009,4
342,Looper,2012,17
343,White House Down,2013,12
344,Pete's Dragon,2016,8
345,Spider-Man 3,2007,1
346,The Three Musketeers,2011,16
347,Stardust,2007,11
348,American Hustle,2013,13
349,Jennifer's Body,2009,1
350,Midnight in Paris,2011,8
351,Lady Macbeth,2016,17
352,Joy,2015,19
353,The Dressmaker,2015,8
354,Café Society,2016,1
355,Insurgent,2015,1
356,Seventh Son,2014,18
357,Demain tout commence,2016,1
358,The Theory of Everything,2014,6
359,This Is the End,2013,10
360,About Time,2013,3
361,Step Brothers,2008,6
362,Clown,2014,5
363,Star Trek Into Darkness,2013,12
364,Zombieland,2009,11
365,"Hail, Caesar!",2016,2
366,Slumdog Millionaire,2008,10
367,The Twilight Saga: Breaking Dawn - Part 2,2012,8
368,American Wrestler: The Wizard,2016,11
369,The Amazing Spider-Man,2012,15
370,Ben-Hur,2016,12
371,Sleight,2016,4
372,The Maze Runner,2014,14
373,Criminal,2016,9
374,Wanted,2008,2
375,Florence Foster Jenkins,2016,12
376,Collide,2016,16
377,Black Mass,2015,10
378,Creed,2015,12
379,Swiss Army Man,2016,4
380,The Expendables 3,2014,9
381,What We Do in the Shadows,2014,8
382,Southpaw,2015,3
383,Hush,2016,8
384,Bridge of Spies,2015,4
385,The Lego Movie,2014,7
386,Everest,2015,3
387,Pixels,2015,8
388,Robin Hood,2010,10
389,The Wolverine,2013,13
390,John Carter,2012,19
391,Keanu,2016,10
392,The Gunman,2015,7
393,Steve Jobs,2015,13
394,Whisky Galore,2016,3
395,Grown Ups 2,2013,14
396,The Age of Adaline,2015,3
397,The Incredible Hulk,2008,1
398,Couples Retreat,2009,14
399,Absolutely Anything,2015,17
400,Magic Mike,2012,14
401,Minions,2015,18
402,The Black Room,2016,3
403,Bronson,2008,10
404,Despicable Me,2010,1
405,The Best of Me,2014,11
406,The Invitation,2015,2
407,Zero Dark Thirty,2012,5
408,Tangled,2010,19
409,The Hunger Games: Mockingjay - Part 2,2015,6
410,Vacation,2015,7
411,Taken,2008,17
412,Pitch Perfect 2,2015,2
413,Monsters University,2013,4
414,Elle,2016,14
415,Mechanic: Resurrection,2016,3
416,Tusk,2014,9
417,The Headhunter's Calling,2016,16
418,Atonement,2007,7
419,Harry Potter and the Deathly Hallows: Part 1,2010,12
420,Shame,2011,10
421,Hanna,2011,11
422,The Babysitters,2007,4
423,Pride and Prejudice and Zombies,2016,9
424,300: Rise of an Empire,2014,8
425,London Has Fallen,2016,13
426,The Curious Case of Benjamin Button,2008,6
427,Sin City: A Dame to Kill For,2014,19
428,The Bourne Ultimatum,2007,8
429,Srpski film,2010,6
430,The Purge: Election Year,2016,19
431,3 Idiots,2009,12
432,Zoolander 2,2016,5
433,World War Z,2013,17
434,Mission: Impossible - Ghost Protocol,2011,9
435,Let Me Make You a Martyr,2016,2
436,Filth,2013,19
437,The Longest Ride,2015,9
438,The imposible,2012,16
439,Kick-Ass 2,2013,15
440,Folk Hero & Funny Guy,2016,6
441,Oz the Great and Powerful,2013,7
442,Brooklyn,2015,4
443,Coraline,2009,7
444,Blue Valentine,2010,13
445,The Thinning,2016,10
446,Silent Hill,2006,14
447,Dredd,2012,15
448,Hunt for the Wilderpeople,2016,11
449,Big Hero 6,2014,16
450,Carrie,2013,10
451,Iron Man 2,2010,10
452,Demolition,2015,9
453,Pandorum,2009,11
454,Olympus Has Fallen,2013,3
455,I Am Number Four,2011,3
456,Jagten,2012,12
457,The Proposal,2009,8
458,Get Hard,2015,1
459,Just Go with It,2011,15
460,Revolutionary Road,2008,7
461,The Town,2010,10
462,The Boy,2016,6
463,Denial,2016,3
464,Predestination,2014,11
465,Goosebumps,2015,6
466,Sherlock Holmes: A Game of Shadows,2011,9
467,Salt,2010,6
468,Enemy,2013,1
469,District 9,2009,12
470,The Other Guys,2010,3
471,American Gangster,2007,8
472,Marie Antoinette,2006,3
473,Sunshine,2009,9
474,Harry Potter and the Half-Blood Prince,2009,13
475,Argo,2012,11
476,Eddie the Eagle,2016,5
477,The Lives of Others,2006,17
478,Pet,2016,19
479,Paint It Black,2016,5
480,Macbeth,2015,6
481,Forgetting Sarah Marshall,2008,2
482,The Giver,2014,6
483,Triple 9,2016,1
484,Perfetti sconosciuti,2016,2
485,Angry Birds,2016,5
486,Moonrise Kingdom,2012,17
487,Hairspray,2007,16
488,Safe Haven,2013,2
489,Focus,2015,17
490,Ratatouille,2007,13
491,Stake Land,2010,8
492,The Book of Eli,2010,7
493,Cloverfield,2008,9
494,Point Break,2015,17
495,Under the Skin,2013,6
496,I Am Legend,2007,13
497,Men in Black 3,2012,10
498,Super 8,2011,12
499,Law Abiding Citizen,2009,13
500,Up,2009,8
501,Maze Runner: The Scorch Trials,2015,11
502,Carol,2015,13
503,Imperium,2016,2
504,Youth,2015,10
505,Mr. Nobody,2009,15
506,City of Tiny Lights,2016,19
507,Savages,2012,8
508,(500) Days of Summer,2009,4
509,Movie 43,2013,6
510,Gravity,2013,16
511,The Boy in the Striped Pyjamas,2008,7
512,Shooter,2007,15
513,The Happening,2008,9
514,Bone Tomahawk,2015,3
515,Magic Mike XXL,2015,12
516,Easy A,2010,14
517,Exodus: Gods and Kings,2014,19
518,Chappie,2015,15
519,The Hobbit: The Desolation of Smaug,2013,14
520,Half of a Yellow Sun,2013,9
521,Anthropoid,2016,3
522,The Counselor,2013,8
523,Viking,2016,7
524,Whiskey Tango Foxtrot,2016,18
525,Trust,2010,17
526,Birth of the Dragon,2016,8
527,Elysium,2013,16
528,The Green Inferno,2013,12
529,Godzilla,2014,10
530,The Bourne Legacy,2012,4
531,A Good Year,2006,10
532,Friend Request,2016,10
533,Deja Vu,2006,18
534,Lucy,2014,9
535,A Quiet Passion,2016,11
536,Need for Speed,2014,10
537,Jack Reacher,2012,18
538,The Do-Over,2016,1
539,True Crimes,2016,19
540,American Pastoral,2016,12
541,The Ghost Writer,2010,12
542,Limitless,2011,5
543,Spectral,2016,4
544,P.S. I Love You,2007,4
545,Zipper,2015,5
546,Midnight Special,2016,12
547,Don't Think Twice,2016,7
548,Alice in Wonderland,2010,13
549,Chuck,2016,19
550,"I, Daniel Blake",2016,13
551,The Break-Up,2006,9
552,Loving,2016,10
553,Fantastic Four,2015,19
554,The Survivalist,2015,2
555,Colonia,2015,16
556,The Boy Next Door,2015,3
557,The Gift,2015,5
558,Dracula Untold,2014,1
559,In the Heart of the Sea,2015,15
560,Idiocracy,2006,3
561,The Expendables,2010,5
562,Evil Dead,2013,7
563,Sinister,2012,2
564,Wreck-It Ralph,2012,16
565,Snow White and the Huntsman,2012,10
566,Pan,2015,6
567,Transformers: Dark of the Moon,2011,16
568,Juno,2007,5
569,A Hologram for the King,2016,17
570,Money Monster,2016,7
571,The Other Woman,2014,17
572,Enchanted,2007,12
573,The Intern,2015,7
574,Little Miss Sunshine,2006,7
575,Bleed for This,2016,12
576,Clash of the Titans,2010,17
577,The Finest Hours,2016,6
578,Tron,2010,19
579,The Hunger Games: Catching Fire,2013,9
580,All Good Things,2010,4
581,Kickboxer: Vengeance,2016,16
582,The Last Airbender,2010,7
583,Sex Tape,2014,15
584,What to Expect When You're Expecting,2012,2
585,Moneyball,2011,8
586,Ghost Rider,2007,4
587,Unbroken,2014,16
588,Immortals,2011,15
589,Sunshine,2007,8
590,Brave,2012,13
591,Män som hatar kvinnor,2009,4
592,Adoration,2013,6
593,The Drop,2014,8
594,She's the Man,2006,10
595,Daddy's Home,2015,15
596,Let Me In,2010,11
597,Never Back Down,2008,11
598,Grimsby,2016,10
599,Moon,2009,13
600,Megamind,2010,3
601,Gangster Squad,2013,18
602,Blood Father,2016,1
603,He's Just Not That Into You,2009,2
604,Kung Fu Panda 3,2016,17
605,The Rise of the Krays,2015,9
606,Handsome Devil,2016,2
607,Winter's Bone,2010,17
608,Horrible Bosses,2011,11
609,Mommy,2014,19
610,Hellboy II: The Golden Army,2008,8
611,Beautiful Creatures,2013,12
612,Toni Erdmann,2016,12
613,The Lovely Bones,2009,12
614,The Assassination of Jesse James by the Coward Robert Ford,2007,8
615,Don Jon,2013,14
616,Bastille Day,2016,13
617,2307: Winter's Dream,2016,11
618,Free State of Jones,2016,2
619,Mr. Right,2015,8
620,The Secret Life of Walter Mitty,2013,7
621,Dope,2015,11
622,Underworld Awakening,2012,12
623,Antichrist,2009,8
624,Friday the 13th,2009,19
